filename,word_count,ten_grams
WR-P-P-B-0000000120.dcoi.xml,32303,32294
WR-P-P-B-0000000121.dcoi.xml,68511,68502
WR-P-P-B-0000000122.dcoi.xml,52474,52465
WR-P-P-B-0000000123.dcoi.xml,72719,72710
WR-P-P-B-0000000124.dcoi.xml,103546,103537
WR-P-P-B-0000000125.dcoi.xml,101017,101008
WR-P-P-B-0000000126.dcoi.xml,73823,73814
WR-P-P-B-0000000127.dcoi.xml,79169,79160
WR-P-P-B-0000000128.dcoi.xml,60850,60841
WR-P-P-B-0000000129.dcoi.xml,71611,71602
WR-P-P-B-0000000130.dcoi.xml,19536,19527
WR-P-P-B-0000000131.dcoi.xml,128899,128890
WR-P-P-B-0000000132.dcoi.xml,71299,71290
WR-P-P-B-0000000133.dcoi.xml,104778,104769
WR-P-P-B-0000000134.dcoi.xml,83111,83102
WR-P-P-B-0000000135.dcoi.xml,104376,104367
WR-P-P-B-0000000136.dcoi.xml,130004,129995
WR-P-P-B-0000000137.dcoi.xml,50182,50173
WR-P-P-B-0000000138.dcoi.xml,127424,127415
WR-P-P-B-0000000139.dcoi.xml,58596,58587
WR-P-P-B-0000000140.dcoi.xml,56143,56134
WR-P-P-B-0000000141.dcoi.xml,24557,24548
WR-P-P-B-0000000142.dcoi.xml,60760,60751
WR-P-P-B-0000000143.dcoi.xml,74340,74331
WR-P-P-B-0000000144.dcoi.xml,83053,83044
WR-P-P-B-0000000145.dcoi.xml,50786,50777
WR-P-P-B-0000000146.dcoi.xml,98286,98277
WR-P-P-B-0000000147.dcoi.xml,99359,99350
WR-P-P-B-0000000148.dcoi.xml,90921,90912
WR-P-P-B-0000000149.dcoi.xml,112771,112762
WR-P-P-B-0000000150.dcoi.xml,104678,104669
WR-P-P-B-0000000151.dcoi.xml,102508,102499
WR-P-P-B-0000000152.dcoi.xml,69204,69195
WR-P-P-B-0000000153.dcoi.xml,178409,178400
WR-P-P-B-0000000154.dcoi.xml,87218,87209
WR-P-P-B-0000000155.dcoi.xml,143534,143525
WR-P-P-B-0000000156.dcoi.xml,29256,29247
WR-P-P-B-0000000157.dcoi.xml,85942,85933
WR-P-P-B-0000000158.dcoi.xml,106135,106126
WR-P-P-B-0000000159.dcoi.xml,120780,120771
WR-P-P-B-0000000160.dcoi.xml,129986,129977
WR-P-P-B-0000000161.dcoi.xml,45457,45448
WR-P-P-B-0000000162.dcoi.xml,108184,108175
WR-P-P-B-0000000163.dcoi.xml,82459,82450
WR-P-P-B-0000000164.dcoi.xml,41980,41971
WR-P-P-B-0000000165.dcoi.xml,99518,99509
WR-P-P-B-0000000167.dcoi.xml,137189,137180
WR-P-P-B-0000000168.dcoi.xml,73663,73654
WR-P-P-B-0000000169.dcoi.xml,72845,72836
WR-P-P-B-0000000170.dcoi.xml,128361,128352
WR-P-P-B-0000000171.dcoi.xml,105664,105655
WR-P-P-B-0000000172.dcoi.xml,151998,151989
WR-P-P-B-0000000173.dcoi.xml,137651,137642
WR-P-P-B-0000000174.dcoi.xml,77787,77778
WR-P-P-B-0000000175.dcoi.xml,107214,107205
WR-P-P-B-0000000176.dcoi.xml,56659,56650
WR-P-P-B-0000000177.dcoi.xml,88057,88048
WR-P-P-B-0000000178.dcoi.xml,88086,88077
WR-P-P-B-0000000179.dcoi.xml,93918,93909
WR-P-P-B-0000000180.dcoi.xml,51153,51144
WR-P-P-B-0000000181.dcoi.xml,97016,97007
WR-P-P-B-0000000182.dcoi.xml,90904,90895
WR-P-P-B-0000000183.dcoi.xml,99443,99434
WR-P-P-B-0000000184.dcoi.xml,80967,80958
WR-P-P-B-0000000185.dcoi.xml,155015,155006
WR-P-P-B-0000000186.dcoi.xml,150798,150789
WR-P-P-B-0000000187.dcoi.xml,117982,117973
WR-P-P-B-0000000188.dcoi.xml,106609,106600
WR-P-P-B-0000000189.dcoi.xml,32460,32451
WR-P-P-B-0000000190.dcoi.xml,70098,70089
WR-P-P-B-0000000191.dcoi.xml,70030,70021
WR-P-P-B-0000000192.dcoi.xml,75414,75405
WR-P-P-B-0000000193.dcoi.xml,75562,75553
WR-P-P-B-0000000194.dcoi.xml,76305,76296
WR-P-P-B-0000000195.dcoi.xml,110953,110944
WR-P-P-B-0000000196.dcoi.xml,81950,81941
